fight_id,event_id,date,r_name,b_name,r_age,b_age,r_height,b_height,r_weight,b_weight,weight_class,rprev,bprev,bstreak,winner,r_win,win_method,last_round,max_round,height_diff,age_diff,r_sig_strikes_landed,r_sig_strikes_attempted,r_sig_strike_accuracy,r_total_strikes_landed,r_total_strikes_attempted,r_knockdowns,r_takedowns_landed,r_takedowns_attempted,r_takedown_accuracy,r_sub_attempts,r_head_sig_strikes,r_body_sig_strikes,r_distance_strikes,r_clinch_sig_strikes,r_ground_sig_strikes,r_control_time,b_sig_strikes_landed,b_sig_strikes_attempted,b_sig_strike_accuracy,b_total_strikes_landed,b_total_strikes_attempted,b_knockdowns,b_takedowns_landed,b_takedowns_attempted,b_takedown_accuracy,b_sub_attempts,b_head_sig_strikes,b_body_sig_strikes,b_distance_strikes,b_clinch_sig_strikes,b_ground_sig_strikes,b_control_time,sig_strike_diff,takedown_diff,knockdown_diff,control_time_diff,strike_accuracy_diff
4580,646,2014-02-03,Frank Mir,Alistair Overeem,39.0,38.0,190.0,193.0,119.0,120.0,Heavyweight,0,0,0,blue,0,Decision,3,3,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4589,646,2014-02-03,Jose Aldo,Ricardo Lamas,32.0,36.0,170.0,172.0,65.0,65.0,Featherweight,0,0,0,red,1,Decision,5,5,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4590,646,2014-02-03,Renan Barao,Urijah Faber,31.0,39.0,167.0,167.0,61.0,61.0,Bantamweight,0,0,0,red,1,KO/TKO,1,5,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4605,646,2014-02-03,Chris Cariaso,Danny Martinez,37.0,33.0,160.0,167.0,56.0,56.0,Flyweight,0,0,0,red,1,Decision,3,3,-7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4631,646,2014-02-03,Nick Catone,Tom Watson,37.0,36.0,182.0,185.0,84.0,84.0,Middleweight,0,0,0,red,1,Decision,3,3,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4642,646,2014-02-03,John Makdessi,Alan Patrick,33.0,35.0,172.0,180.0,70.0,70.0,Lightweight,0,0,0,blue,0,Decision,3,3,-8.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4649,646,2014-02-03,Al Iaquinta,Kevin Lee,31.0,26.0,175.0,175.0,70.0,70.0,Lightweight,0,0,0,red,1,Decision,3,3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4651,646,2016-11-05,Tony Martin,Rashid Magomedov,28.0,33.0,182.0,175.0,70.0,70.0,Lightweight,0,0,0,blue,0,Decision,3,3,7.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4652,646,2014-02-03,Neil Magny,Gasan Umalatov,31.0,36.0,190.0,180.0,77.0,77.0,Welterweight,0,0,0,red,1,Decision,3,3,10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4658,646,2014-02-03,John Lineker,Ali Bagautinov,28.0,33.0,160.0,162.0,61.0,56.0,Bantamweight,0,0,0,blue,0,Decision,3,3,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4662,646,2014-02-03,Jamie Varner,Abel Trujillo,33.0,35.0,172.0,172.0,70.0,70.0,Lightweight,0,0,0,blue,0,KO/TKO,2,3,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4665,646,2014-02-03,Clint Hester,Andy Enz,31.0,27.0,187.0,190.0,93.0,84.0,Light Heavyweight,0,0,0,red,1,Decision,3,3,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4591,647,2014-02-16,Lyoto Machida,Gegard Mousasi,40.0,33.0,185.0,187.0,84.0,84.0,Middleweight,0,0,0,red,1,Decision,5,5,-2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
